business_id,username,password_hash,role
MTSW4McQd7CbVtyjqoe9mw,st_honore_pastries@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
k0hlBqXX-Bt0vf1op7Jr1w,tsevi's_pub_and_grill@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
il_Ro8jwPlHresjw9EGmBg,denny's@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
0bPLkL0QhhPO5kt1_EXmNQ,zio's_italian_market@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
MUTTqe8uqyMdBl186RmNeA,tuna_bar@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
ROeacJQwBeh05Rqg7F6TCg,bap@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
WKMJwqnfZKsAae75RMP6jA,roast_coffeehouse_and_wine_bar@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
kfNv-JZpuN6TVNSO6hHdkw,hibachi_express@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
9OG5YkX1g2GReZM0AskizA,romano's_macaroni_grill@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
tMkwHmWFUEXrC9ZduonpTg,the_green_pheasant@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
QdN72BWoyFypdGJhhI5r7g,bar_one@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
Mjboz24M9NlBeiOJKLEd_Q,desandro_on_main@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
kV_Q1oqis8Qli8dUoGpTyQ,ardmore_pizza@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
aPNXGTDkf-4bjhyMBQxqpQ,craft_hall@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
2xVsWBNFwZOxIOdd9Mwnww,cheeseburger_in_paradise@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
ljxNT9p0y7YMPx0fcNBGig,tony's_restaurant_&_3rd_street_cafe@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
wghnIlMb_i5U46HMBGx9ig,china_dragon_restaurant@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
JX4tUpd09YFchLBuI43lGw,naked_cyber_cafe_&_espresso_bar@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
lk9IwjZXqUMqqOhM774DtQ,caviar_&_bananas@demo.com,$2b$12$ZZSaIQdlRp3R9sR1BDD1yO0QclBjrnIdG.QD.F.s6niJQhkaQM/Lq,user
